SongName,ArtistName,Popularity,Tempo,Genre
"A Whole New World (End Title) - From ""Aladdin""",ZAYN,81,92.468,instrumental
734,Juice WRLD,84,144.991,rock
9:45,Prabh Singh,15.285714285714286,75,acoustic
A Thousand Years,Christina Perri,40,112.001,instrumental
A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,Christina Perri,81,92.468,instrumental
Adventure of a Lifetime,Coldplay,78,117.965,rock
Admirin' You (feat. Preston Pablo),Karan Aujla,12.774358974358975,100,hiphop
Alag Aasmaan,Anuv Jain,77,93.016,pop
Alive,Empire of the Sun,66,138.856,acoustic
All Night,The Vamps,81,123.962,rock
Am I Good Enough Now?,Carlos Rafael Rivera,79,124.01,rock
Animals,Maroon 5,87,95.977,pop
Another Love,Tom Odell,88,122.769,pop
Arcade,Duncan Laurence,89,102.977,rock
Astronomy,Conan Gray,66,127.919,pop
asphyxia,Cö Shu Nie,66,167.238,pop
Baari,Bilal Saeed,62,88.716,pop
Baarishein,Anuv Jain,80,61.311,rock
Baila Conmigo (with Rauw Alejandro),Selena Gomez,82,149.903,pop
Bandit (with YoungBoy Never Broke Again),Juice WRLD,74,98.007,rock
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,40,112.001,instrumental
Before You Go,Lewis Capaldi,85,132.861,acoustic
Believer,Imagine Dragons,69,189.868,electronic
Besabriyaan,Armaan Malik,67,127.099,pop
Beth's Story,Carlos Rafael Rivera,42,134.587,instrumental
Better Days,OneRepublic,87,119.976,pop
Beware,Big Sean,69,94.42,acoustic
Big Gangsta,Kevin Gates,81,126.984,dance
Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,66,160.095,electronic
Break My Heart Myself (feat. Travis Barker),Bebe Rexha,61,170.041,rock
Build a Bitch,Bella Poarch,69,94.42,acoustic
Butter,BTS,86,93.005,pop
By Your Side (feat. Tom Grennan),Calvin Harris,76,94.98,rock
Call You Mine,The Chainsmokers,0,75.017,pop
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,75,100.848,instrumental
Centuries,Fall Out Boy,0,145.252,jazz
Cheques,Shubh,11.729537366548042,90,hiphop
Close To Me,Ellie Goulding,49,91.923,pop
Cocaine,Pink Sweat$,90,110.968,pop
Come & Go (with Marshmello),Juice WRLD,82,180.051,hiphop
"Comptine d'un autre été, l'après-midi",Yann Tiersen,62,144.081,pop
Crooked Smile (feat. TLC),J. Cole,81,170.039,electronic
Deep End Freestyle,Sleepy Hallow,74,80.95,pop
deja vu,Olivia Rodrigo,95,166.928,pop
Dior,Pop Smoke,90,110.968,pop
Dip (feat. Nicki Minaj) (feat. Nicki Minaj),Tyga,65,99.026,pop
Disrespectful,Blueface,72,80.985,pop
Do You Mean,The Chainsmokers,0,145.252,jazz
Echo (with KSHMR),Armaan Malik,65,118.969,acoustic
Element,Pop Smoke,80,61.311,rock
Everybody Wants You,Johnny Orlando,86,111.881,pop
Experience,Ludovico Einaudi,72,133.928,hiphop
Falling,Trevor Daniel,84,127.085,pop
Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),Mozzy,0,142.096,hiphop
Gang Shit No Lame Shit,Key Glock,69,94.42,acoustic
Genda Phool (feat. Payal Dev),Badshah,67,116.977,pop
Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),ILLENIUM,78,100.1,pop
Good Years,ZAYN,69,94.42,acoustic
Goodbye To A World,Porter Robinson,91,178.781,pop
