SongName,ArtistName,Popularity,Tempo,Genre
Saiyaan Ji,Yo Yo Honey Singh,62,130.024,pop
Falling,Trevor Daniel,84,127.085,pop
Shayad,Pritam,72,135.864,acoustic
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,68,156.396,electronic
Genda Phool (feat. Payal Dev),Badshah,67,116.977,pop
"Humraah (From ""Malang - Unleash The Madness"")",Sachet Tandon,69,155.867,rock
Baila Conmigo (with Rauw Alejandro),Selena Gomez,82,149.903,pop
You (with Marshmello & Vance Joy),benny blanco,73,103.116,pop
Higher (feat. iann dior),Clean Bandit,71,104.018,pop
Element,Pop Smoke,80,61.311,rock
HUMBLE.,Kendrick Lamar,84,150.011,pop
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,78,169.021,electronic
Dip (feat. Nicki Minaj) (feat. Nicki Minaj),Tyga,65,99.026,pop
goosebumps,Travis Scott,87,130.049,pop
Walk It Talk It,Migos,78,145.914,pop
King Kunta,Kendrick Lamar,76,107.059,pop
Swang,Rae Sremmurd,0,139.991,pop
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,74,80.924,pop
Swang,Rae Sremmurd,0,139.991,pop
Another Love,Tom Odell,88,122.769,pop
Another Love,Tom Odell,88,122.769,pop
People Help the People,Birdy,67,73.254,acoustic
unravel (acoustic version) - Acoustic Version,TK from Ling tosite sigure,56,111.841,acoustic
"Isabella's Lullaby (from ""The Promised Neverland"")",AmaLee,66,82.176,rock
asphyxia,Cö Shu Nie,66,167.238,pop
Kokoronashi,majiko,66,167.238,pop
Kokoronashi,majiko,81,129.059,pop
unravel (acoustic version) - Acoustic Version,TK from Ling tosite sigure,73,145.195,instrumental
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,75,100.848,instrumental
Somebody That I Used To Know,Gotye,63,118.086,acoustic
River Flows In You,Yiruma,87,146.04,acoustic
"Comptine d'un autre été, l'après-midi",Yann Tiersen,62,144.081,pop
You Raise Me Up,Josh Groban,69,104.941,pop
Hope,XXXTENTACION,69,94.42,acoustic
Close To Me,Ellie Goulding,49,91.923,pop
Hope,The Chainsmokers,69,80.088,pop
Baarishein,Anuv Jain,80,61.311,rock
Why Did I Answer?,Porsche Love,0,144.911,hiphop
Baari,Bilal Saeed,62,88.716,pop
Element,Pop Smoke,72,97.129,pop
Big Gangsta,Kevin Gates,81,126.984,dance
Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),Mozzy,0,142.096,hiphop
Beware,Big Sean,69,94.42,acoustic
The Thrill,Wiz Khalifa,95,166.928,pop
Dior,Pop Smoke,90,110.968,pop
Baarishein,Anuv Jain,88,109.997,pop
good 4 u,Olivia Rodrigo,91,178.781,pop
Kiss Me More (feat. SZA),Doja Cat,84,71.884,acoustic
Butter,BTS,86,93.005,pop
MONTERO (Call Me By Your Name),Lil Nas X,87,148.088,pop
Arcade,Duncan Laurence,89,102.977,rock
WITHOUT YOU,The Kid LAROI,91,90.03,pop
Leave The Door Open,Bruno Mars,92,118.091,rock
Levitating (feat. DaBaby),Dua Lipa,90,180.917,pop
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,85,99.048,pop
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,40,112.001,instrumental
deja vu,Olivia Rodrigo,95,166.928,pop
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,40,112.001,instrumental
Sygrayem (Let's Play),Carlos Rafael Rivera,74,80.95,pop
good 4 u,Olivia Rodrigo,87,119.976,pop
Sygrayem (Let's Play),Carlos Rafael Rivera,95,166.928,pop
Our Song,Anne-Marie,82,102.931,pop
Leave Before You Love Me (with Jonas Brothers),Marshmello,85,124.111,pop
good 4 u,Olivia Rodrigo,0,142.096,hiphop
Build a Bitch,Bella Poarch,69,94.42,acoustic
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,75,135.014,rock
Dior,Pop Smoke,69,94.42,acoustic
Baarishein,Anuv Jain,75,135.014,rock
unravel,TK from Ling tosite sigure,73,152.078,rock
Baarishein,Anuv Jain,0,83.903,pop
